MapSplice_Breakpoint	Annotation
8726-15754	low_frequency_deletion
8926-14558	low_frequency_deletion
12984-13129	low_frequency_deletion
9599-13855	low_frequency_deletion
381-10626	low_frequency_deletion
5002-13431	low_frequency_deletion
8713-13552	low_frequency_deletion
8634-13855	low_frequency_deletion
8821-13855	low_frequency_deletion
5391-13999	low_frequency_deletion
7966-13703	low_frequency_deletion
5381-14807	low_frequency_deletion
7816-15335	low_frequency_deletion
11857-13640	low_frequency_deletion
7781-14368	low_frequency_deletion
309-15540	low_frequency_deletion
3297-12026	low_frequency_deletion
4197-12110	low_frequency_deletion
3603-13384	low_frequency_deletion
5368-8625	low_frequency_deletion
5348-14359	low_frequency_deletion
7405-13297	low_frequency_deletion
8471-13487	low_frequency_deletion
8471-12911	low_frequency_deletion
8634-14067	low_frequency_deletion
10544-13939	low_frequency_deletion
10968-15486	low_frequency_deletion
4382-9216	low_frequency_deletion
1233-10838	low_frequency_deletion
5103-12911	low_frequency_deletion
10929-14419	low_frequency_deletion
4055-14807	low_frequency_deletion
4734-9212	low_frequency_deletion
3538-11045	low_frequency_deletion
1241-11146	low_frequency_deletion
5348-13548	low_frequency_deletion
5354-13855	low_frequency_deletion
5294-14529	low_frequency_deletion
8428-14807	low_frequency_deletion
4167-15368	low_frequency_deletion
3570-15541	low_frequency_deletion
9640-15717	low_frequency_deletion
7732-14195	low_frequency_deletion
676-15633	low_frequency_deletion
8775-13449	low_frequency_deletion
5605-14647	low_frequency_deletion
591-8472	low_frequency_deletion
5444-10170	low_frequency_deletion
5368-10545	low_frequency_deletion
480-13693	low_frequency_deletion
7825-13776	low_frequency_deletion
13845-13999	low_frequency_deletion
2328-14055	low_frequency_deletion
4167-14150	low_frequency_deletion
5336-14654	low_frequency_deletion
252-11086	low_frequency_deletion
4507-13169	low_frequency_deletion
6219-14055	low_frequency_deletion
3321-8625	low_frequency_deletion
3741-11639	low_frequency_deletion
308-14377	low_frequency_deletion
3102-11200	low_frequency_deletion
3962-11200	low_frequency_deletion
1698-13458	low_frequency_deletion
7899-13978	low_frequency_deletion
5167-14004	low_frequency_deletion
4382-14558	low_frequency_deletion
308-13584	low_frequency_deletion
13305-14568	low_frequency_deletion
7981-11174	low_frequency_deletion
4909-11045	low_frequency_deletion
5485-13584	low_frequency_deletion
8467-10800	low_frequency_deletion
263-14368	low_frequency_deletion
5368-13449	low_frequency_deletion
1922-13584	low_frequency_deletion
7126-13776	low_frequency_deletion
5167-15486	low_frequency_deletion
10091-15491	low_frequency_deletion
2385-15846	low_frequency_deletion
7714-13855	low_frequency_deletion
2784-14130	low_frequency_deletion
3186-14413	low_frequency_deletion
2363-14282	low_frequency_deletion
5210-14377	low_frequency_deletion
4238-14529	low_frequency_deletion
2328-14529	low_frequency_deletion
273-14568	low_frequency_deletion
5336-16083	low_frequency_deletion
5336-15605	low_frequency_deletion
828-15981	low_frequency_deletion
6335-14413	low_frequency_deletion
5330-14363	low_frequency_deletion
8775-10308	low_frequency_deletion
4909-13683	low_frequency_deletion
2224-14377	low_frequency_deletion
4397-14073	low_frequency_deletion
3791-14377	low_frequency_deletion
8624-14377	low_frequency_deletion
342-525	low_frequency_deletion
2246-10746	low_frequency_deletion
5905-11683	low_frequency_deletion
5348-14529	low_frequency_deletion
5294-13443	low_frequency_deletion
8275-14413	low_frequency_deletion
6556-13855	low_frequency_deletion
309-14807	low_frequency_deletion
3789-10279	low_frequency_deletion
11073-14884	low_frequency_deletion
6602-8352	low_frequency_deletion
4060-8727	low_frequency_deletion
5876-12834	low_frequency_deletion
2402-13634	low_frequency_deletion
4053-14529	low_frequency_deletion
7816-15491	low_frequency_deletion
8684-13436	low_frequency_deletion
3819-14403	low_frequency_deletion
4167-13381	low_frequency_deletion
5210-14098	low_frequency_deletion
1656-15195	low_frequency_deletion
8574-12859	low_frequency_deletion
6556-14055	low_frequency_deletion
3402-13548	low_frequency_deletion
5117-13537	low_frequency_deletion
5368-8915	low_frequency_deletion
8775-13909	low_frequency_deletion
1714-14695	low_frequency_deletion
9640-14067	low_frequency_deletion
5359-11500	low_frequency_deletion
5368-14815	low_frequency_deletion
6488-15846	low_frequency_deletion
117-16173	low_frequency_deletion
150-16143	low_frequency_deletion
4382-16151	low_frequency_deletion
14459-16151	low_frequency_deletion
190-15953	low_frequency_deletion
146-16035	low_frequency_deletion
168-16049	low_frequency_deletion
488-16079	low_frequency_deletion
186-16074	low_frequency_deletion
498-14341	low_frequency_deletion
488-15363	low_frequency_deletion
150-16077	low_frequency_deletion
461-13789	low_frequency_deletion
114-15992	low_frequency_deletion
465-15268	low_frequency_deletion
1467-16071	low_frequency_deletion
186-16037	low_frequency_deletion
187-16071	low_frequency_deletion
151-16072	low_frequency_deletion
805-12972	low_frequency_deletion
3590-15373	low_frequency_deletion
1245-14288	low_frequency_deletion
185-16068	low_frequency_deletion
250-16102	low_frequency_deletion
3500-14055	low_frequency_deletion
496-14361	low_frequency_deletion
2332-13994	low_frequency_deletion
3459-14341	low_frequency_deletion
474-14136	low_frequency_deletion
8842-15525	low_frequency_deletion
1893-13976	low_frequency_deletion
115-16105	low_frequency_deletion
6511-15652	low_frequency_deletion
498-12387	low_frequency_deletion
191-16034	low_frequency_deletion
516-14359	low_frequency_deletion
5442-14820	low_frequency_deletion
8296-16072	low_frequency_deletion
3468-16080	low_frequency_deletion
4060-16072	low_frequency_deletion
6884-14651	low_frequency_deletion
136-15633	low_frequency_deletion
2821-16080	low_frequency_deletion
6830-14575	low_frequency_deletion
3495-14339	low_frequency_deletion
193-16072	low_frequency_deletion
792-11533	low_frequency_deletion
197-16072	low_frequency_deletion
6860-15013	low_frequency_deletion
6842-14807	low_frequency_deletion
1113-14656	low_frequency_deletion
3306-16083	low_frequency_deletion
7403-12392	low_frequency_deletion
5228-15617	low_frequency_deletion
1906-16071	low_frequency_deletion
6084-11973	low_frequency_deletion
6024-12822	low_frequency_deletion
3258-16071	low_frequency_deletion
7101-13954	low_frequency_deletion
166-15491	low_frequency_deletion
4905-8472	low_frequency_deletion
6320-13986	low_frequency_deletion
193-16100	low_frequency_deletion
522-14558	low_frequency_deletion
463-16072	low_frequency_deletion
5368-8472	low_frequency_deletion
1764-15082	low_frequency_deletion
6506-13999	low_frequency_deletion
3263-12300	low_frequency_deletion
2493-14395	low_frequency_deletion
3262-14419	low_frequency_deletion
1042-14737	low_frequency_deletion
8277-8468	low_frequency_deletion
147-15382	low_frequency_deletion
137-16067	low_frequency_deletion
186-16068	low_frequency_deletion
6545-14276	low_frequency_deletion
4903-14004	low_frequency_deletion
6295-13626	low_frequency_deletion
303-15536	low_frequency_deletion
7376-15926	low_frequency_deletion
862-14584	low_frequency_deletion
8926-15268	low_frequency_deletion
1714-16083	low_frequency_deletion
537-14626	low_frequency_deletion
8075-11136	low_frequency_deletion
11044-11814	low_frequency_deletion
8775-14150	low_frequency_deletion
6423-14807	low_frequency_deletion
3831-13978	low_frequency_deletion
8624-16056	low_frequency_deletion
6041-14482	low_frequency_deletion
6223-13449	low_frequency_deletion
7747-13537	low_frequency_deletion
9146-15517	low_frequency_deletion
6291-15382	low_frequency_deletion
4686-15846	low_frequency_deletion
6100-13678	low_frequency_deletion
5156-5482	low_frequency_deletion
8679-13864	low_frequency_deletion
3191-16056	low_frequency_deletion
8275-14067	low_frequency_deletion
140-14807	low_frequency_deletion
5817-14067	low_frequency_deletion
8475-14067	low_frequency_deletion
8471-15536	low_frequency_deletion
9289-15491	low_frequency_deletion
4167-13169	low_frequency_deletion
8475-15976	low_frequency_deletion
191-16070	low_frequency_deletion
5348-14024	low_frequency_deletion
5359-9009	low_frequency_deletion
3741-13306	low_frequency_deletion
8775-15431	low_frequency_deletion
1764-14520	low_frequency_deletion
13583-15382	low_frequency_deletion
13079-15548	low_frequency_deletion
522-16083	low_frequency_deletion
8471-15491	low_frequency_deletion
3330-14630	low_frequency_deletion
3519-14825	low_frequency_deletion
342-13939	low_frequency_deletion
12094-14055	low_frequency_deletion
3502-13306	low_frequency_deletion
2175-13999	low_frequency_deletion
2793-13693	low_frequency_deletion
5237-14815	low_frequency_deletion
7520-14081	low_frequency_deletion
4495-10987	low_frequency_deletion
7126-13329	low_frequency_deletion
7078-12042	low_frequency_deletion
983-10969	low_frequency_deletion
480-12369	low_frequency_deletion
1698-5369	low_frequency_deletion
3533-11603	low_frequency_deletion
7686-13978	low_frequency_deletion
1611-14067	low_frequency_deletion
4382-14359	low_frequency_deletion
6545-13852	low_frequency_deletion
3538-10980	low_frequency_deletion
5294-13516	low_frequency_deletion
5014-13640	low_frequency_deletion
13791-13855	low_frequency_deletion
5294-14413	low_frequency_deletion
342-14647	low_frequency_deletion
14412-14807	low_frequency_deletion
6556-15403	low_frequency_deletion
7987-15335	low_frequency_deletion
4991-5349	low_frequency_deletion
6335-14807	low_frequency_deletion
13791-14024	low_frequency_deletion
5368-8685	low_frequency_deletion
5453-13519	low_frequency_deletion
5327-15491	low_frequency_deletion
4382-9031	low_frequency_deletion
4191-13301	low_frequency_deletion
11145-13653	low_frequency_deletion
5294-14807	low_frequency_deletion
6495-14529	low_frequency_deletion
665-15286	low_frequency_deletion
7834-15410	low_frequency_deletion
1922-14990	low_frequency_deletion
3969-6603	low_frequency_deletion
7189-15583	low_frequency_deletion
7863-13584	low_frequency_deletion
440-7405	low_frequency_deletion
5368-14916	low_frequency_deletion
505-15548	low_frequency_deletion
9042-11250	low_frequency_deletion
4106-14067	low_frequency_deletion
9296-14621	low_frequency_deletion
11044-15335	low_frequency_deletion
6219-15416	low_frequency_deletion
4060-15486	low_frequency_deletion
2254-15821	low_frequency_deletion
8624-13846	low_frequency_deletion
4191-15038	low_frequency_deletion
5167-9043	low_frequency_deletion
6868-10969	low_frequency_deletion
5336-13999	low_frequency_deletion
3819-14377	low_frequency_deletion
2513-14407	low_frequency_deletion
4382-13436	low_frequency_deletion
2224-9427	low_frequency_deletion
1698-6557	low_frequency_deletion
1698-6888	low_frequency_deletion
3533-11269	low_frequency_deletion
5481-11820	low_frequency_deletion
3186-11935	low_frequency_deletion
6556-12402	low_frequency_deletion
5123-13846	low_frequency_deletion
5707-13855	low_frequency_deletion
616-14081	low_frequency_deletion
3779-14377	low_frequency_deletion
6495-14377	low_frequency_deletion
529-14584	low_frequency_deletion
7414-15276	low_frequency_deletion
1845-13846	low_frequency_deletion
5368-14407	low_frequency_deletion
6530-7841	low_frequency_deletion
660-13999	low_frequency_deletion
14066-15403	low_frequency_deletion
3570-15740	low_frequency_deletion
4874-14767	low_frequency_deletion
8624-15268	low_frequency_deletion
591-6220	low_frequency_deletion
4106-8915	low_frequency_deletion
5960-11285	low_frequency_deletion
3513-6546	low_frequency_deletion
6356-8424	low_frequency_deletion
2839-12814	low_frequency_deletion
5134-14529	low_frequency_deletion
5890-11292	low_frequency_deletion
9030-9417	low_frequency_deletion
3974-5309	low_frequency_deletion
5336-9329	low_frequency_deletion
1698-11399	low_frequency_deletion
166-12349	low_frequency_deletion
6495-13792	low_frequency_deletion
9189-13855	low_frequency_deletion
4820-14324	low_frequency_deletion
4850-14563	low_frequency_deletion
3468-14630	low_frequency_deletion
5391-13792	low_frequency_deletion
3597-14276	low_frequency_deletion
3789-11045	low_frequency_deletion
5099-13999	low_frequency_deletion
1241-8625	low_frequency_deletion
5440-12026	low_frequency_deletion
9319-14377	low_frequency_deletion
1698-13846	low_frequency_deletion
6482-15491	low_frequency_deletion
5362-8658	low_frequency_deletion
5348-12080	low_frequency_deletion
166-14044	low_frequency_deletion
777-14909	low_frequency_deletion
4106-8472	low_frequency_deletion
5378-12080	low_frequency_deletion
3513-13436	low_frequency_deletion
4632-13978	low_frequency_deletion
4106-14004	low_frequency_deletion
9120-14887	low_frequency_deletion
4928-15740	low_frequency_deletion
5368-13653	low_frequency_deletion
5474-15335	low_frequency_deletion
1241-9427	low_frequency_deletion
308-12974	low_frequency_deletion
6556-13519	low_frequency_deletion
1698-8468	low_frequency_deletion
8440-8625	low_frequency_deletion
5053-12542	low_frequency_deletion
777-13846	low_frequency_deletion
5134-14377	low_frequency_deletion
9030-15178	low_frequency_deletion
3789-10752	low_frequency_deletion
6602-13939	low_frequency_deletion
3363-14024	low_frequency_deletion
5156-14316	low_frequency_deletion
591-12399	low_frequency_deletion
6467-13855	low_frequency_deletion
7573-14520	low_frequency_deletion
14262-14529	low_frequency_deletion
464-15740	low_frequency_deletion
8381-14401	low_frequency_deletion
8471-13924	low_frequency_deletion
7747-13864	low_frequency_deletion
4167-13584	low_frequency_deletion
3330-14067	low_frequency_deletion
3647-15826	low_frequency_deletion
591-5468	low_frequency_deletion
505-12015	low_frequency_deletion
6363-12995	low_frequency_deletion
1233-14482	low_frequency_deletion
1845-14760	low_frequency_deletion
6219-15335	low_frequency_deletion
5481-11055	low_frequency_deletion
1241-13306	low_frequency_deletion
1233-3598	low_frequency_deletion
4885-13653	low_frequency_deletion
9922-16070	low_frequency_deletion
8471-8625	low_frequency_deletion
3164-13779	low_frequency_deletion
5103-14825	low_frequency_deletion
8132-15403	low_frequency_deletion
5368-13640	low_frequency_deletion
1105-14004	low_frequency_deletion
5359-14767	low_frequency_deletion
1714-7127	low_frequency_deletion
6989-12433	low_frequency_deletion
6205-14150	low_frequency_deletion
3819-11045	low_frequency_deletion
5362-14377	low_frequency_deletion
8624-15491	low_frequency_deletion
3540-13855	low_frequency_deletion
5099-13855	low_frequency_deletion
2275-13864	low_frequency_deletion
2861-14401	low_frequency_deletion
3321-14771	low_frequency_deletion
6820-14039	low_frequency_deletion
9042-14044	low_frequency_deletion
1233-14004	low_frequency_deletion
9599-13792	low_frequency_deletion
7699-15038	low_frequency_deletion
2209-6546	low_frequency_deletion
1677-13693	low_frequency_deletion
3779-15335	low_frequency_deletion
5103-11200	low_frequency_deletion
3629-14055	low_frequency_deletion
3819-15477	low_frequency_deletion
8467-10850	low_frequency_deletion
10292-14187	low_frequency_deletion
2224-11987	low_frequency_deletion
5167-10969	low_frequency_deletion
7499-13584	low_frequency_deletion
9872-14990	low_frequency_deletion
147-16148	low_frequency_deletion
168-16106	low_frequency_deletion
127-16160	low_frequency_deletion
144-16134	low_frequency_deletion
150-16115	low_frequency_deletion
1714-16151	low_frequency_deletion
998-16168	low_frequency_deletion
3470-16168	low_frequency_deletion
3629-16151	low_frequency_deletion
1042-16143	low_frequency_deletion
184-15498	rare_frequency_deletion
108-16071	rare_frequency_deletion
170-16068	rare_frequency_deletion
140-16072	rare_frequency_deletion
1672-13972	rare_frequency_deletion
3896-14422	rare_frequency_deletion
468-15333	rare_frequency_deletion
5839-13054	rare_frequency_deletion
168-16068	rare_frequency_deletion
262-16073	rare_frequency_deletion
3566-15536	rare_frequency_deletion
1226-14393	rare_frequency_deletion
256-16072	rare_frequency_deletion
3393-16072	rare_frequency_deletion
300-16071	rare_frequency_deletion
189-16039	rare_frequency_deletion
113-16072	rare_frequency_deletion
892-15525	rare_frequency_deletion
186-16054	rare_frequency_deletion
191-16071	rare_frequency_deletion
145-16067	rare_frequency_deletion
306-357	rare_frequency_deletion
1948-16073	rare_frequency_deletion
3251-15038	rare_frequency_deletion
3459-14426	rare_frequency_deletion
3265-16071	rare_frequency_deletion
248-16079	rare_frequency_deletion
115-16053	rare_frequency_deletion
127-16072	rare_frequency_deletion
248-16105	rare_frequency_deletion
470-13682	rare_frequency_deletion
486-14804	rare_frequency_deletion
551-14410	rare_frequency_deletion
193-16068	rare_frequency_deletion
3394-16072	rare_frequency_deletion
3789-14792	rare_frequency_deletion
799-15525	rare_frequency_deletion
504-13919	rare_frequency_deletion
6440-14760	rare_frequency_deletion
1922-13999	rare_frequency_deletion
966-14394	rare_frequency_deletion
458-13761	rare_frequency_deletion
194-16067	rare_frequency_deletion
2821-16083	rare_frequency_deletion
2322-13750	rare_frequency_deletion
828-15939	rare_frequency_deletion
6928-15436	rare_frequency_deletion
387-14131	rare_frequency_deletion
3021-16072	rare_frequency_deletion
506-14822	rare_frequency_deletion
3321-16080	rare_frequency_deletion
2579-16072	rare_frequency_deletion
8437-14068	rare_frequency_deletion
3500-15548	rare_frequency_deletion
3021-16073	rare_frequency_deletion
3597-16083	rare_frequency_deletion
3263-16079	rare_frequency_deletion
526-13937	rare_frequency_deletion
190-16080	rare_frequency_deletion
2336-13763	rare_frequency_deletion
3255-12300	rare_frequency_deletion
144-16056	rare_frequency_deletion
2380-13841	rare_frequency_deletion
298-16070	rare_frequency_deletion
567-14480	rare_frequency_deletion
190-16100	rare_frequency_deletion
4017-15543	rare_frequency_deletion
4885-16072	rare_frequency_deletion
5002-14434	rare_frequency_deletion
2839-15335	rare_frequency_deletion
309-14055	rare_frequency_deletion
2779-13846	rare_frequency_deletion
308-16105	rare_frequency_deletion
6545-14923	rare_frequency_deletion
290-13750	rare_frequency_deletion
4376-16072	rare_frequency_deletion
231-16100	rare_frequency_deletion
3431-16072	rare_frequency_deletion
186-16105	rare_frequency_deletion
8085-15548	rare_frequency_deletion
7976-15489	rare_frequency_deletion
166-15335	rare_frequency_deletion
144-15538	rare_frequency_deletion
6851-13654	rare_frequency_deletion
7825-14822	rare_frequency_deletion
190-15605	rare_frequency_deletion
1664-16072	rare_frequency_deletion
168-16075	rare_frequency_deletion
8629-15670	rare_frequency_deletion
6335-13978	rare_frequency_deletion
498-14815	rare_frequency_deletion
3297-16072	rare_frequency_deletion
5890-11995	rare_frequency_deletion
3324-16080	rare_frequency_deletion
3533-14073	rare_frequency_deletion
1127-13978	rare_frequency_deletion
3612-16072	rare_frequency_deletion
665-12942	rare_frequency_deletion
7193-15089	rare_frequency_deletion
9645-15491	rare_frequency_deletion
7126-15681	rare_frequency_deletion
214-16100	rare_frequency_deletion
1130-14403	rare_frequency_deletion
166-15740	rare_frequency_deletion
476-13855	rare_frequency_deletion
190-11200	rare_frequency_deletion
6485-15335	rare_frequency_deletion
2224-14990	rare_frequency_deletion
6428-11521	rare_frequency_deletion
2246-14413	rare_frequency_deletion
3798-13384	rare_frequency_deletion
7708-15026	rare_frequency_deletion
5368-16056	rare_frequency_deletion
6367-15335	rare_frequency_deletion
1105-15491	rare_frequency_deletion
7905-10400	rare_frequency_deletion
308-11136	rare_frequency_deletion
4167-12023	rare_frequency_deletion
3789-16080	rare_frequency_deletion
5960-14150	rare_frequency_deletion
8467-16056	rare_frequency_deletion
1241-13458	rare_frequency_deletion
115-16106	rare_frequency_deletion
8926-15538	rare_frequency_deletion
4382-8468	rare_frequency_deletion
458-15486	rare_frequency_deletion
7284-14568	rare_frequency_deletion
4382-14332	rare_frequency_deletion
7981-14807	rare_frequency_deletion
5839-13855	rare_frequency_deletion
6335-14479	rare_frequency_deletion
9042-14253	rare_frequency_deletion
7327-14529	rare_frequency_deletion
4798-15403	rare_frequency_deletion
4913-13688	rare_frequency_deletion
7816-15536	rare_frequency_deletion
177-16080	rare_frequency_deletion
14054-15382	rare_frequency_deletion
591-13129	rare_frequency_deletion
4106-10948	rare_frequency_deletion
498-14339	rare_frequency_deletion
4708-14529	rare_frequency_deletion
9060-16072	rare_frequency_deletion
8467-15335	rare_frequency_deletion
8471-10948	rare_frequency_deletion
6291-14529	rare_frequency_deletion
2473-14843	rare_frequency_deletion
166-15382	rare_frequency_deletion
529-14253	rare_frequency_deletion
11676-15684	rare_frequency_deletion
8275-14529	rare_frequency_deletion
308-15548	rare_frequency_deletion
8374-16072	rare_frequency_deletion
464-14529	rare_frequency_deletion
5327-14377	rare_frequency_deletion
1677-13999	rare_frequency_deletion
7126-11526	rare_frequency_deletion
5827-13001	rare_frequency_deletion
6356-14359	rare_frequency_deletion
6556-10924	rare_frequency_deletion
665-11045	rare_frequency_deletion
502-12116	rare_frequency_deletion
5336-14390	rare_frequency_deletion
1714-14067	rare_frequency_deletion
676-15491	rare_frequency_deletion
1677-14589	rare_frequency_deletion
5444-8415	rare_frequency_deletion
5368-8661	rare_frequency_deletion
8467-12402	rare_frequency_deletion
5167-13939	rare_frequency_deletion
480-8685	rare_frequency_deletion
5167-11146	rare_frequency_deletion
3402-12080	rare_frequency_deletion
5444-14338	rare_frequency_deletion
8467-15382	rare_frequency_deletion
4021-15846	rare_frequency_deletion
8726-15486	rare_frequency_deletion
4197-13468	rare_frequency_deletion
6061-13743	rare_frequency_deletion
2515-13306	rare_frequency_deletion
2136-14717	rare_frequency_deletion
11980-14377	rare_frequency_deletion
8351-13306	rare_frequency_deletion
9289-14145	rare_frequency_deletion
14262-15382	rare_frequency_deletion
4259-12581	rare_frequency_deletion
6363-13103	rare_frequency_deletion
9042-13893	rare_frequency_deletion
1922-14314	rare_frequency_deletion
458-15335	rare_frequency_deletion
5817-15717	rare_frequency_deletion
5330-13381	rare_frequency_deletion
6545-14695	rare_frequency_deletion
4167-13129	rare_frequency_deletion
3845-15517	rare_frequency_deletion
3603-13306	rare_frequency_deletion
12094-15335	rare_frequency_deletion
4167-7247	rare_frequency_deletion
2985-12195	rare_frequency_deletion
7863-15335	rare_frequency_deletion
10972-15491	rare_frequency_deletion
9158-13161	rare_frequency_deletion
7951-13944	rare_frequency_deletion
14528-15382	rare_frequency_deletion
3819-14341	rare_frequency_deletion
1698-8814	rare_frequency_deletion
5002-13978	rare_frequency_deletion
8775-14130	rare_frequency_deletion
2513-14558	rare_frequency_deletion
4649-13584	rare_frequency_deletion
5336-13640	rare_frequency_deletion
6048-13997	rare_frequency_deletion
9922-14529	rare_frequency_deletion
8428-13436	rare_frequency_deletion
5348-8579	rare_frequency_deletion
140-10308	rare_frequency_deletion
8514-13978	rare_frequency_deletion
3570-14647	rare_frequency_deletion
10268-14529	rare_frequency_deletion
5354-6603	rare_frequency_deletion
652-14601	rare_frequency_deletion
4885-11875	rare_frequency_deletion
12963-13161	rare_frequency_deletion
4913-13792	rare_frequency_deletion
4747-14067	rare_frequency_deletion
13583-14529	rare_frequency_deletion
1845-15403	rare_frequency_deletion
3789-8685	rare_frequency_deletion
5327-8776	rare_frequency_deletion
1241-8814	rare_frequency_deletion
2202-10705	rare_frequency_deletion
8460-10843	rare_frequency_deletion
3603-10904	rare_frequency_deletion
5997-11280	rare_frequency_deletion
7650-12465	rare_frequency_deletion
4905-13034	rare_frequency_deletion
6048-13260	rare_frequency_deletion
7478-13499	rare_frequency_deletion
862-13688	rare_frequency_deletion
1031-13829	rare_frequency_deletion
1042-13913	rare_frequency_deletion
1864-14024	rare_frequency_deletion
591-14329	rare_frequency_deletion
1253-14520	rare_frequency_deletion
2793-14529	rare_frequency_deletion
4158-14566	rare_frequency_deletion
1105-14807	rare_frequency_deletion
12464-15335	rare_frequency_deletion
1105-13384	rare_frequency_deletion
4382-15403	rare_frequency_deletion
6142-10969	rare_frequency_deletion
11322-11513	rare_frequency_deletion
3819-13519	rare_frequency_deletion
5616-13935	rare_frequency_deletion
5871-15268	rare_frequency_deletion
3327-11725	rare_frequency_deletion
8775-13584	rare_frequency_deletion
7619-14743	rare_frequency_deletion
9590-13052	rare_frequency_deletion
2209-13449	rare_frequency_deletion
4874-9244	rare_frequency_deletion
4836-8927	rare_frequency_deletion
8471-9035	rare_frequency_deletion
6556-12465	rare_frequency_deletion
11145-13683	rare_frequency_deletion
9838-14067	rare_frequency_deletion
5336-14205	rare_frequency_deletion
8775-15335	rare_frequency_deletion
6103-15403	rare_frequency_deletion
7126-8131	rare_frequency_deletion
1922-10969	rare_frequency_deletion
4106-12360	rare_frequency_deletion
10903-12745	rare_frequency_deletion
6219-13436	rare_frequency_deletion
4686-13487	rare_frequency_deletion
3629-14359	rare_frequency_deletion
13977-14529	rare_frequency_deletion
8684-14130	rare_frequency_deletion
1692-15740	rare_frequency_deletion
2402-8990	rare_frequency_deletion
5378-10752	rare_frequency_deletion
11938-12019	rare_frequency_deletion
1677-12664	rare_frequency_deletion
480-13663	rare_frequency_deletion
2175-13792	rare_frequency_deletion
7807-14341	rare_frequency_deletion
8791-14390	rare_frequency_deletion
10552-14529	rare_frequency_deletion
2793-14630	rare_frequency_deletion
3321-14929	rare_frequency_deletion
1714-15082	rare_frequency_deletion
7499-15382	rare_frequency_deletion
3321-15850	rare_frequency_deletion
2169-16061	rare_frequency_deletion
248-16067	rare_frequency_deletion
8416-16072	rare_frequency_deletion
9278-15740	rare_frequency_deletion
3597-16080	rare_frequency_deletion
5656-13076	rare_frequency_deletion
7228-14626	rare_frequency_deletion
7405-12019	rare_frequency_deletion
3533-14377	rare_frequency_deletion
10951-15382	rare_frequency_deletion
6485-11914	rare_frequency_deletion
4885-11146	rare_frequency_deletion
5061-13855	rare_frequency_deletion
1241-13191	rare_frequency_deletion
6488-14316	rare_frequency_deletion
5348-13487	rare_frequency_deletion
4065-11521	rare_frequency_deletion
10544-15335	rare_frequency_deletion
4014-13436	rare_frequency_deletion
458-10843	rare_frequency_deletion
3558-12919	rare_frequency_deletion
8467-13306	rare_frequency_deletion
594-8685	rare_frequency_deletion
447-15477	rare_frequency_deletion
632-15548	rare_frequency_deletion
2328-15491	rare_frequency_deletion
591-10241	rare_frequency_deletion
676-10241	rare_frequency_deletion
5294-10904	rare_frequency_deletion
4691-11537	rare_frequency_deletion
9042-12349	rare_frequency_deletion
5890-13640	rare_frequency_deletion
271-13653	rare_frequency_deletion
2493-13683	rare_frequency_deletion
5327-15382	rare_frequency_deletion
14066-15382	rare_frequency_deletion
15334-15491	rare_frequency_deletion
11734-14150	rare_frequency_deletion
1932-11603	rare_frequency_deletion
3321-13301	rare_frequency_deletion
2414-13584	rare_frequency_deletion
3552-14387	rare_frequency_deletion
1922-14218	rare_frequency_deletion
447-14145	rare_frequency_deletion
8440-10626	rare_frequency_deletion
9010-13306	rare_frequency_deletion
3533-13659	rare_frequency_deletion
1714-14390	rare_frequency_deletion
9344-14643	rare_frequency_deletion
3789-9513	rare_frequency_deletion
7126-11882	rare_frequency_deletion
8624-12465	rare_frequency_deletion
4028-12919	rare_frequency_deletion
2275-13301	rare_frequency_deletion
11314-13846	rare_frequency_deletion
3768-13913	rare_frequency_deletion
608-14024	rare_frequency_deletion
6367-14098	rare_frequency_deletion
308-14135	rare_frequency_deletion
8829-14150	rare_frequency_deletion
4905-15536	rare_frequency_deletion
9158-15681	rare_frequency_deletion
4925-10924	rare_frequency_deletion
6602-12834	rare_frequency_deletion
3327-15335	rare_frequency_deletion
4945-12110	rare_frequency_deletion
6488-14377	rare_frequency_deletion
8277-14626	rare_frequency_deletion
1233-14654	rare_frequency_deletion
2224-15419	rare_frequency_deletion
1666-9641	rare_frequency_deletion
3533-13458	rare_frequency_deletion
440-14067	rare_frequency_deletion
4106-14621	rare_frequency_deletion
4747-11725	rare_frequency_deletion
4167-13089	rare_frequency_deletion
7440-15503	rare_frequency_deletion
440-15548	rare_frequency_deletion
7650-13129	rare_frequency_deletion
14066-14145	rare_frequency_deletion
652-14259	rare_frequency_deletion
4885-14647	rare_frequency_deletion
10923-13384	rare_frequency_deletion
6872-11858	rare_frequency_deletion
8574-12015	rare_frequency_deletion
5336-14150	rare_frequency_deletion
4167-14403	rare_frequency_deletion
3654-14419	rare_frequency_deletion
5817-15335	rare_frequency_deletion
4167-9424	rare_frequency_deletion
6959-14004	rare_frequency_deletion
5153-15191	rare_frequency_deletion
9596-15527	rare_frequency_deletion
1241-5453	rare_frequency_deletion
1233-3790	rare_frequency_deletion
1714-8984	rare_frequency_deletion
4686-10962	rare_frequency_deletion
7781-13537	rare_frequency_deletion
5048-13935	rare_frequency_deletion
6356-12080	rare_frequency_deletion
959-8625	rare_frequency_deletion
3515-13191	rare_frequency_deletion
3819-15486	rare_frequency_deletion
11058-13584	rare_frequency_deletion
8014-14055	rare_frequency_deletion
308-15541	rare_frequency_deletion
8829-9244	rare_frequency_deletion
1714-9672	rare_frequency_deletion
3538-11868	rare_frequency_deletion
8775-13693	rare_frequency_deletion
